Index,pattern_id,predicate,sup,card_class,pr_quartile,question,answer,model_answer,verdict_exact_match,verdict_edit_sim,verdict_jaccard_sim,verdict_rouge_l,verdict_bleu,verdict_bert_cosine,exact_match,edit_sim,jaccard_sim,rouge_l,bleu,bert_cosine
0,P1,author,19810,single,Q4,What book has Raymond Moody written?,Life After Life (book),Moody's Requiem,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0909090909090909,0.0,0.0,0.0,0.2681713402271271
1,P1,author,19810,single,Q4,What book has Anne Desclos written?,Story of O,Bonjour,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1999999999999999,0.0,0.0,0.0,0.1698751300573349
2,P1,author,19810,single,Q4,What book has R. J. Yeatman written?,1066 and All That,The Serpent and the Dove,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.25,0.125,0.2222222222222222,0.053728496591177,0.2358521074056625
3,P1,author,19810,single,Q4,What book has Iris Chang written?,The Rape of Nanking (book),The Joy Luck Club,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.3076923076923077,0.125,0.2222222222222222,0.0625710681815915,0.1203448176383972
4,P1,author,19810,single,Q4,What book has Joan Lindsay written?,Picnic at Hanging Rock (novel),Picnic at Hanging Rock,hallucination,hallucination,correct,correct,correct,correct,0,0.7333333333333334,0.8,0.888888888888889,0.7788007830714049,0.8724818229675293
5,P1,author,19810,single,Q4,What book has Walter Lord written?,A Night to Remember (book),The Storm,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1538461538461538,0.0,0.0,0.0,0.3197833299636841
6,P1,author,19810,single,Q4,What book has Robert W. Chambers written?,The King in Yellow,The King in Yellow,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
7,P1,author,19810,single,Q4,What book has William H. Armstrong written?,Sounder,Arrowsmith,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0999999999999999,0.0,0.0,0.0,0.2924006581306457
8,P1,author,19810,single,Q4,What book has Craig Harrison (writer) written?,The Quiet Earth,The Martian,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.4,0.25,0.4,0.0906974882774589,0.4458487033843994
9,P1,author,19810,single,Q4,What book has Grace Llewellyn written?,The Teenage Liberation Handbook,The Goblin Emperor,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2903225806451612,0.1666666666666666,0.2857142857142857,0.0814136751754278,0.0927835702896118
10,P1,author,19810,single,Q4,What book has Muriel Denison written?,Susannah of the Mounties,The Unreturning,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1666666666666666,0.0,0.3333333333333333,0.0,0.2146074026823043
11,P1,author,19810,single,Q4,What book has Satyam Sankaramanchi written?,Amaravati Kathalu,The Monk and the Madman,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1739130434782608,0.0,0.0,0.0,0.0340186990797519
12,P1,author,19810,single,Q4,What book has Stella Gibbons written?,Cold Comfort Farm,Cold Comfort Farm,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,1.0
13,P1,author,19810,single,Q4,What book has Mika Waltari written?,The Egyptian,Bloodbrothers,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0769230769230768,0.0,0.0,0.0,0.1167758405208587
14,P1,author,19810,single,Q4,What book has Ellen Glasgow written?,Virginia (novel),Ellen Glasgow,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.125,0.0,0.0,0.0,0.1659633517265319
