pattern_id,predicate,sup,card_class,pr_quartile,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,Q4,0.0,0.0,0.1,0.0,0.0,0.1,1000
P1,starring,60547,few,Q3,0.0,0.0,0.2,0.0,0.0,0.0,1000
P1,starring,60547,few,Q2,0.0,0.0,0.2,0.0,0.0,0.1,1000
P1,starring,60547,few,Q1,0.0,0.0,0.4,0.4,0.2,0.2,1000
P1,starring,60547,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,starring,60547,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P1,starring,60547,single,Q4,0.4,0.4,0.4,0.4,0.3,0.4,1000
P1,starring,60547,single,Q3,0.5,0.5,0.6,0.5,0.4,0.5,1000
P1,starring,60547,single,Q2,0.7000000000000001,0.8,1.3,1.1,0.6,1.0,1000
P1,starring,60547,single,Q1,1.7999999999999998,1.7999999999999998,2.5,2.3,1.0,2.3,1000
P10,narrator,1897,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,64
P10,narrator,1897,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,64
P10,narrator,1897,few,Q2,0.0,0.0,1.5625,1.5625,0.0,0.0,64
P10,narrator,1897,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,62
P10,narrator,1897,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,2
P10,narrator,1897,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,224
P10,narrator,1897,single,Q3,0.4464285714285714,0.4464285714285714,0.8928571428571428,0.4464285714285714,0.4464285714285714,0.8928571428571428,224
P10,narrator,1897,single,Q2,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.4464285714285714,0.0,0.4464285714285714,224
P10,narrator,1897,single,Q1,2.262443438914027,2.262443438914027,2.262443438914027,2.262443438914027,1.3574660633484164,2.262443438914027,221
P11,showJudge,886,few,Q4,0.0,0.0,3.7037037037037033,0.0,0.0,3.7037037037037033,27
P11,showJudge,886,few,Q3,0.0,0.0,3.7037037037037033,0.0,0.0,11.11111111111111,27
P11,showJudge,886,few,Q2,3.7037037037037033,3.7037037037037033,7.4074074074074066,3.7037037037037033,3.7037037037037033,3.7037037037037033,27
P11,showJudge,886,few,Q1,0.0,0.0,12.0,4.0,0.0,0.0,25
P11,showJudge,886,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P11,showJudge,886,single,Q4,0.6802721088435374,1.3605442176870748,2.0408163265306123,2.0408163265306123,0.6802721088435374,1.3605442176870748,147
P11,showJudge,886,single,Q3,3.4013605442176873,3.4013605442176873,5.442176870748299,5.442176870748299,3.4013605442176873,3.4013605442176873,147
P11,showJudge,886,single,Q2,4.081632653061225,4.081632653061225,9.523809523809524,8.16326530612245,4.081632653061225,4.761904761904762,147
P11,showJudge,886,single,Q1,4.081632653061225,4.761904761904762,8.16326530612245,5.442176870748299,2.7210884353741496,6.802721088435375,147
P11,storyEditor,27,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,28
P11,storyEditor,27,many,Q3,0.0,0.0,3.571428571428571,3.571428571428571,3.571428571428571,3.571428571428571,28
P11,storyEditor,27,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,28
P11,storyEditor,27,many,Q1,0.0,0.0,0.0,0.0,0.0,3.8461538461538463,26
P11,storyEditor,27,single,Q4,0.0,0.0,0.0,0.0,0.0,0.6802721088435374,147
P11,storyEditor,27,single,Q3,0.6802721088435374,0.6802721088435374,1.3605442176870748,1.3605442176870748,0.6802721088435374,0.6802721088435374,147
P11,storyEditor,27,single,Q2,0.0,0.6802721088435374,1.3605442176870748,0.6802721088435374,0.0,0.6802721088435374,147
P11,storyEditor,27,single,Q1,0.6802721088435374,0.6802721088435374,1.3605442176870748,0.6802721088435374,0.0,1.3605442176870748,147
P12,creativeDirector,192,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,4
P12,creativeDirector,192,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,Q4,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,13
P12,creativeDirector,192,single,Q3,0.0,0.0,0.0,0.0,0.0,0.0,13
P12,creativeDirector,192,single,Q2,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,0.0,7.6923076923076925,13
P12,creativeDirector,192,single,Q1,0.0,0.0,0.0,0.0,0.0,0.0,13
P2,director,8321,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,355
P2,director,8321,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,355
P2,director,8321,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,355
P2,director,8321,few,Q1,0.0,0.0,0.2824858757062147,0.2824858757062147,0.0,0.2824858757062147,354
P2,director,8321,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P2,director,8321,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P2,director,8321,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,director,8321,single,Q4,0.0,0.0,0.2463054187192118,0.2463054187192118,0.0,0.0,406
P2,director,8321,single,Q3,0.2463054187192118,0.2463054187192118,0.2463054187192118,0.2463054187192118,0.2463054187192118,0.2463054187192118,406
P2,director,8321,single,Q2,0.2463054187192118,0.2463054187192118,0.4926108374384236,0.2463054187192118,0.2463054187192118,0.4926108374384236,406
P2,director,8321,single,Q1,1.728395061728395,1.9753086419753083,2.4691358024691357,2.2222222222222223,0.7407407407407408,2.2222222222222223,405
P3,executiveProducer,7193,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,302
P3,executiveProducer,7193,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,302
P3,executiveProducer,7193,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,302
P3,executiveProducer,7193,few,Q1,0.0,0.0,0.3322259136212624,0.3322259136212624,0.0,0.6644518272425249,301
P3,executiveProducer,7193,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P3,executiveProducer,7193,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P3,executiveProducer,7193,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P3,executiveProducer,7193,single,Q4,0.2475247524752475,0.2475247524752475,0.2475247524752475,0.2475247524752475,0.2475247524752475,0.2475247524752475,404
P3,executiveProducer,7193,single,Q3,0.7425742574257426,0.7425742574257426,1.98019801980198,1.4851485148514851,0.7425742574257426,1.2376237623762376,404
P3,executiveProducer,7193,single,Q2,1.7326732673267329,1.7326732673267329,2.722772277227723,2.2277227722772275,0.99009900990099,2.2277227722772275,404
P3,executiveProducer,7193,single,Q1,3.4653465346534658,3.4653465346534658,4.9504950495049505,4.207920792079208,1.98019801980198,4.455445544554455,404
P4,presenter,6955,few,Q4,0.0,0.0,0.3205128205128205,0.3205128205128205,0.0,0.3205128205128205,312
P4,presenter,6955,few,Q3,0.0,0.0,0.3205128205128205,0.641025641025641,0.0,0.641025641025641,312
P4,presenter,6955,few,Q2,0.0,0.0,0.641025641025641,0.641025641025641,0.3205128205128205,0.0,312
P4,presenter,6955,few,Q1,0.0,0.0,1.6129032258064515,0.6451612903225806,0.0,1.2903225806451613,310
P4,presenter,6955,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,3
P4,presenter,6955,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,3
P4,presenter,6955,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,3
P4,presenter,6955,single,Q4,0.7194244604316548,1.0071942446043165,1.4388489208633095,1.2949640287769784,0.4316546762589928,1.4388489208633095,695
P4,presenter,6955,single,Q3,1.7266187050359711,1.870503597122302,3.0215827338129495,2.158273381294964,0.5755395683453237,2.302158273381295,695
P4,presenter,6955,single,Q2,1.5827338129496402,1.7266187050359711,3.1654676258992804,1.870503597122302,0.7194244604316548,2.7338129496402876,695
P4,presenter,6955,single,Q1,2.7338129496402876,3.4532374100719423,4.892086330935252,4.028776978417266,1.7266187050359711,4.028776978417266,695
P5,creator,6755,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,272
P5,creator,6755,few,Q3,0.0,0.0,0.3676470588235294,0.0,0.0,0.3676470588235294,272
P5,creator,6755,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,272
P5,creator,6755,few,Q1,0.0,0.0,0.7352941176470588,0.7352941176470588,0.3676470588235294,1.1029411764705883,272
P5,creator,6755,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P5,creator,6755,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P5,creator,6755,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,1
P5,creator,6755,many,Q1,0.0,0.0,0.0,0.0,0.0,0.0,1
P5,creator,6755,single,Q4,0.3527336860670194,0.5291005291005291,0.5291005291005291,0.5291005291005291,0.3527336860670194,0.5291005291005291,567
P5,creator,6755,single,Q3,0.5291005291005291,0.5291005291005291,1.4109347442680775,1.058201058201058,0.3527336860670194,0.8818342151675485,567
P5,creator,6755,single,Q2,1.058201058201058,1.058201058201058,1.9400352733686064,1.763668430335097,0.7054673721340388,1.5873015873015872,567
P5,creator,6755,single,Q1,3.900709219858156,3.900709219858156,5.851063829787234,4.432624113475177,2.4822695035460995,5.141843971631205,564
P6,voice,6364,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,228
P6,voice,6364,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,228
P6,voice,6364,few,Q2,0.0,0.0,0.0,0.0,0.0,0.8771929824561403,228
P6,voice,6364,few,Q1,0.4385964912280701,0.4385964912280701,0.4385964912280701,0.4385964912280701,0.0,0.4385964912280701,228
P6,voice,6364,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,1
P6,voice,6364,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,1
P6,voice,6364,single,Q4,0.0,0.0,0.5235602094240838,0.2617801047120419,0.0,0.0,382
P6,voice,6364,single,Q3,0.0,0.0,0.5235602094240838,0.2617801047120419,0.2617801047120419,0.2617801047120419,382
P6,voice,6364,single,Q2,0.5235602094240838,0.5235602094240838,2.094240837696335,0.5235602094240838,0.0,1.0471204188481675,382
P6,voice,6364,single,Q1,1.3157894736842104,1.3157894736842104,2.368421052631579,1.5789473684210529,0.2631578947368421,1.3157894736842104,380
P7,producer,4764,few,Q4,0.0,0.0,0.0,0.0,0.0,0.0,191
P7,producer,4764,few,Q3,0.0,0.0,0.0,0.0,0.0,0.0,191
P7,producer,4764,few,Q2,0.0,0.0,0.0,0.0,0.0,0.0,191
P7,producer,4764,few,Q1,0.0,0.0,0.0,0.0,0.0,0.0,189
P7,producer,4764,many,Q4,0.0,0.0,0.0,0.0,0.0,0.0,2
P7,producer,4764,many,Q3,0.0,0.0,0.0,0.0,0.0,0.0,2
P7,producer,4764,many,Q2,0.0,0.0,0.0,0.0,0.0,0.0,2
P7,producer,4764,single,Q4,0.0,0.0,0.0,0.0,0.0,0.0,427
P7,producer,4764,single,Q3,0.468384074941452,0.468384074941452,0.468384074941452,0.468384074941452,0.468384074941452,0.468384074941452,427
