Index,pattern_id,predicate,sup,card_class,pr_quartile,question,answer,model_answer,verdict_exact_match,verdict_edit_sim,verdict_jaccard_sim,verdict_rouge_l,verdict_bleu,verdict_bert_cosine,exact_match,edit_sim,jaccard_sim,rouge_l,bleu,bert_cosine
0,P1,author,19810,single,Q1,What book has Raymond Moody written?,Life After Life (book),Life After Life,hallucination,hallucination,correct,correct,hallucination,hallucination,0,0.6818181818181819,0.6666666666666666,0.8571428571428571,0.40293516672844226,0.8120937347412109
1,P1,author,19810,single,Q1,What book has Anne Desclos written?,Story of O,Annie Cohen-Solal,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.11764705882352944,0.0,0.0,0.0,0.1463414579629898
2,P1,author,19810,single,Q1,What book has R. J. Yeatman written?,1066 and All That,The Collapse of Cottonwood,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.11538461538461542,0.0,0.0,0.0,0.06258463859558105
3,P1,author,19810,single,Q1,What book has Iris Chang written?,The Rape of Nanking (book),The Rape of Nanking,hallucination,hallucination,correct,correct,correct,correct,0,0.7307692307692308,0.8,0.888888888888889,0.7788007830714049,0.9321401715278625
4,P1,author,19810,single,Q1,What book has Joan Lindsay written?,Picnic at Hanging Rock (novel),Picnic at Hanging Rock,hallucination,hallucination,correct,correct,correct,correct,0,0.7333333333333334,0.8,0.888888888888889,0.7788007830714049,0.8724818229675293
5,P1,author,19810,single,Q1,What book has Walter Lord written?,A Night to Remember (book),The Night Lives On,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2692307692307693,0.125,0.22222222222222224,0.06257106818159155,0.5783352851867676
6,P1,author,19810,single,Q1,What book has Robert W. Chambers written?,The King in Yellow,The King in Yellow,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
7,P1,author,19810,single,Q1,What book has William H. Armstrong written?,Sounder,Sounder,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.1778279410038923,1.0000001192092896
8,P1,author,19810,single,Q1,What book has Craig Harrison (writer) written?,The Quiet Earth,The Rogue Batsman,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.3529411764705882,0.2,0.3333333333333333,0.11362193664674995,0.16092507541179657
9,P1,author,19810,single,Q1,What book has Grace Llewellyn written?,The Teenage Liberation Handbook,The Ethical Hacker,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.29032258064516125,0.16666666666666666,0.28571428571428575,0.0814136751754278,0.12963302433490753
10,P1,author,19810,single,Q1,What book has Muriel Denison written?,Susannah of the Mounties,The Nameless Place,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.125,0.0,0.28571428571428575,0.0,0.22167286276817322
11,P1,author,19810,single,Q1,What book has Satyam Sankaramanchi written?,Amaravati Kathalu,The Silent Patient,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.16666666666666663,0.0,0.0,0.0,0.1636696457862854
12,P1,author,19810,single,Q1,What book has Stella Gibbons written?,Cold Comfort Farm,Cold Comfort Farm,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,1.0
13,P1,author,19810,single,Q1,What book has Mika Waltari written?,The Egyptian,"Sinuhe, the Egyptian",hallucination,hallucination,hallucination,correct,hallucination,hallucination,0,0.55,0.25,0.8,0.11362193664674995,0.7926417589187622
14,P1,author,19810,single,Q1,What book has Ellen Glasgow written?,Virginia (novel),Virginia,hallucination,hallucination,correct,hallucination,hallucination,hallucination,0,0.5,0.5,0.6666666666666666,0.06541924356118012,0.6431627869606018
15,P1,author,19810,single,Q1,What book has Gary K. Wolf written?,Who Censored Roger Rabbit?,The Stone Pony and Beauty's Beast,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.18181818181818177,0.0,0.0,0.0,0.3055626153945923
16,P1,author,19810,single,Q1,What book has Mil Millington written?,Things My Girlfriend and I Have Argued About,Vanity Fair,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.11363636363636365,0.0,0.0,0.0,0.1631515622138977
17,P1,author,19810,single,Q1,What book has Piri Thomas written?,Down These Mean Streets,Down These Mean Streets,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0000001192092896
18,P1,author,19810,single,Q1,What book has Mark Clifton written?,They'd Rather Be Right,The Last Battle,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.31818181818181823,0.0,0.0,0.0,-0.02654886431992054
19,P1,author,19810,single,Q1,What book has Will Durant written?,The Story of Civilization,The Story of Civilization,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
20,P1,author,19810,single,Q1,What book has John Henry Patterson (author) written?,The Man-eaters of Tsavo,The Great Galveston Cyclone of 1900,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2857142857142857,0.25,0.3636363636363636,0.048549177170732344,0.05305439978837967
21,P1,author,19810,single,Q1,What book has Ethel Pedley written?,Dot and the Kangaroo,The Badminton Magazine of Sports & Pastimes,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.18604651162790697,0.0,0.2,0.0,0.13722506165504456
22,P1,author,19810,single,Q1,What book has Michael Thomas Ford written?,Circle of Three,The Last Werewolf,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.11764705882352944,0.0,0.0,0.0,0.2138713300228119
23,P1,author,19810,single,Q1,What book has Isabella Beeton written?,Mrs Beeton's Book of Household Management,Mrs. Beeton's Book of Household Management,hallucination,correct,correct,correct,correct,correct,0,0.9761904761904762,0.7142857142857143,1.0,0.7598356856515925,0.9964062571525574
24,P1,author,19810,single,Q1,What book has Harold Coyle written?,Team Yankee,Bloodtie,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.09090909090909094,0.0,0.0,0.0,0.25269514322280884
25,P1,author,19810,single,Q1,What book has Vasily Aksyonov written?,Generations of Winter,The Case,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1428571428571429,0.0,0.0,0.0,0.13093170523643494
26,P1,author,19810,single,Q1,What book has Don L. Wulffson written?,Soldier X,The Great American Chocolate War,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.09375,0.0,0.0,0.0,0.1837821751832962
27,P1,author,19810,single,Q1,What book has Jason Clarke (writer) written?,Michael Moore Is a Big Fat Stupid White Man,The End of the Line,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2093023255813954,0.0,0.0,0.0,0.0762493684887886
28,P1,author,19810,single,Q1,What book has Max Beerbohm written?,Zuleika Dobson,The Happy Hypocrite,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1578947368421053,0.0,0.0,0.0,0.15006296336650848
29,P1,author,19810,single,Q1,What book has Dossie Easton written?,The Ethical Slut,Against Our Will,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0625,0.0,0.0,0.0,0.15577125549316406
30,P1,author,19810,single,Q1,What book has Andy Hunt (author) written?,Programming Ruby,The Pragmatic Programmer,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.20833333333333337,0.0,0.0,0.0,0.4352177083492279
