pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,0.0,0.0,0.25,0.25,0.1,0.175,4000
P1,starring,60547,many,0.0,0.0,0.0,0.0,0.0,0.0,11
P1,starring,60547,single,1.775,1.7999999999999998,2.4250000000000003,2.25,1.175,2.15,4000
P10,narrator,1897,few,0.0,0.0,0.0,0.0,0.0,0.7874015748031495,254
P10,narrator,1897,many,0.0,0.0,0.0,0.0,0.0,0.0,8
P10,narrator,1897,single,1.007838745800672,1.007838745800672,1.7917133258678613,1.5677491601343785,0.6718924972004479,1.6797312430011198,893
P11,showJudge,886,few,0.9433962264150944,0.9433962264150944,2.8301886792452833,1.8867924528301887,0.9433962264150944,4.716981132075472,106
P11,showJudge,886,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P11,showJudge,886,single,4.591836734693878,4.591836734693878,9.013605442176871,7.142857142857142,4.081632653061225,5.952380952380952,588
P11,storyEditor,27,many,0.0,0.0,0.0,0.0,0.0,1.818181818181818,110
P11,storyEditor,27,single,1.1904761904761905,1.1904761904761905,2.5510204081632653,2.2108843537414966,0.8503401360544218,2.0408163265306123,588
P12,creativeDirector,192,few,0.0,0.0,0.0,0.0,0.0,0.0,16
P12,creativeDirector,192,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,0.0,0.0,0.0,0.0,0.0,0.0,52
P2,director,8321,few,0.0,0.0,0.2114164904862579,0.1409443269908386,0.0,0.1409443269908386,1419
P2,director,8321,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P2,director,8321,single,0.9242144177449167,0.9242144177449167,1.1706715958102278,0.9858287122612448,0.3080714725816389,1.2322858903265557,1623
P3,executiveProducer,7193,few,0.0828500414250207,0.0828500414250207,0.6628003314001657,0.4971002485501243,0.4142502071251036,0.9113504556752278,1207
P3,executiveProducer,7193,many,0.0,0.0,0.0,0.0,0.0,0.0,3
P3,executiveProducer,7193,single,3.155940594059406,3.217821782178218,4.579207920792079,3.836633663366337,1.2376237623762376,4.207920792079208,1616
P4,presenter,6955,few,0.160513643659711,0.160513643659711,1.2841091492776886,0.5617977528089888,0.3210272873194221,1.1235955056179776,1246
P4,presenter,6955,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P4,presenter,6955,single,3.2733812949640293,3.597122302158273,5.251798561151079,4.856115107913669,1.7985611510791366,4.280575539568345,2780
P5,creator,6755,few,0.1838235294117647,0.1838235294117647,1.1948529411764706,0.5514705882352942,0.3676470588235294,1.0110294117647058,1088
P5,creator,6755,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P5,creator,6755,single,3.090507726269316,3.1346578366445916,4.812362030905077,4.150110375275938,1.5894039735099337,3.9735099337748343,2265
P6,voice,6364,few,0.0,0.0,0.1096491228070175,0.3289473684210526,0.0,0.3289473684210526,912
P6,voice,6364,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P6,voice,6364,single,1.376146788990826,1.507208387942333,1.965923984272608,1.769331585845347,0.7208387942332897,1.703800786369594,1526
P7,producer,4764,few,0.0,0.0,0.3937007874015747,0.1312335958005249,0.0,0.0,762
P7,producer,4764,many,0.0,0.0,0.0,0.0,0.0,0.0,6
P7,producer,4764,single,1.405152224824356,1.5807962529274004,2.2833723653395785,2.0491803278688523,0.5854800936768151,1.8149882903981265,1708
P8,author,4612,few,0.0,0.0,0.116822429906542,0.233644859813084,0.0,0.4672897196261681,856
P8,author,4612,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P8,author,4612,single,0.9538950715421304,0.9538950715421304,2.01377848436672,1.642819289878113,0.4769475357710651,1.4308426073131957,1887
P9,composer,2771,few,0.0,0.0,0.2392344497607655,0.0,0.0,0.2392344497607655,418
P9,composer,2771,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P9,composer,2771,single,1.779935275080906,1.779935275080906,2.4271844660194173,2.26537216828479,1.132686084142395,1.9417475728155336,618
