Index,pattern_id,predicate,sup,card_class,pr_quartile,question,answer,model_answer,verdict_exact_match,verdict_edit_sim,verdict_jaccard_sim,verdict_rouge_l,verdict_bleu,verdict_bert_cosine,exact_match,edit_sim,jaccard_sim,rouge_l,bleu,bert_cosine
0,P1,author,19810,single,Q4,"Who is the author of the book ""Reincarnation (novel)""?",Suzanne Weyn,Author unknown.,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1333333333333333,0.0,0.0,0.0,0.3846581876277923
1,P1,author,19810,single,Q4,"Who is the author of the book ""The Mysteries of Udolpho""?",Ann Radcliffe,Ann Radcliffe,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,0.9999999403953552
2,P1,author,19810,single,Q4,"Who is the author of the book ""I riddarnas spår""?",Margit Sandemo,Unknown,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0714285714285714,0.0,0.0,0.0,0.2165846824645996
3,P1,author,19810,single,Q4,"Who is the author of the book ""Over Sea, Under Stone""?",Susan Cooper,Susan Cooper,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.0
4,P1,author,19810,single,Q4,"Who is the author of the book ""Venus as a Boy (novella)""?",Luke Sutherland,1.,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0,0.0,0.0,0.0,0.1241125240921974
5,P1,author,19810,single,Q4,"Who is the author of the book ""Blood, Sweat & Tea""?",Tom Reynolds (EMT),Peter Hargreaves,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0555555555555555,0.0,0.0,0.0,0.3188704252243042
6,P1,author,19810,single,Q4,"Who is the author of the book ""The Fortunate Pilgrim""?",Mario Puzo,Frank Capra,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0909090909090909,0.0,0.0,0.0,0.3931385278701782
7,P1,author,19810,single,Q4,"Who is the author of the book ""Providence: The Story of a Fifty-Year Vision Quest""?",Daniel Quinn,Saul Bellow,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1666666666666666,0.0,0.0,0.0,0.3619847297668457
8,P1,author,19810,single,Q4,"Who is the author of the book ""Tales from the Secret Annex""?",Anne Frank,Anne Frank,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.0000001192092896
9,P1,author,19810,single,Q4,"Who is the author of the book ""A Son of the People""?",Emma Orczy,E.D. Morel,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1999999999999999,0.0,0.0,0.0,0.3020119965076446
10,P1,author,19810,single,Q4,"Who is the author of the book ""The Men Who Stare at Goats""?",Jon Ronson,'unsure',hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0999999999999999,0.0,0.0,0.0,0.1665640622377395
11,P1,author,19810,single,Q4,"Who is the author of the book ""Dream Boy""?",Jim Grimsley,C.J. Prince,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.25,0.0,0.0,0.0,0.2779424786567688
12,P1,author,19810,single,Q4,"Who is the author of the book ""Galactic Empires (anthology)""?",Gardner Dozois,"Question: Who is the author of the book ""The Caves of Steel (novel)""?",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0869565217391304,0.0,0.0,0.0,0.1094859465956687
13,P1,author,19810,single,Q4,"Who is the author of the book ""Alamut (Bartol novel)""?",Vladimir Bartol,I was hoping to get some recommendations for some reading material to,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1304347826086956,0.0,0.0,0.0,0.1058801710605621
14,P1,author,19810,single,Q4,"Who is the author of the book ""Empress (novel)""?",Shan Sa,"""Empress (novel)"" was written by S. J. Kincaid.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1063829787234043,0.0,0.0,0.0,0.0669600665569305
15,P1,author,19810,single,Q4,"Who is the author of the book ""Periwinkle at the Full Moon Ball""?",Geneviève Huriet,06:30:00,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0,0.0,0.0,0.0,0.0793504118919372
16,P1,author,19810,single,Q4,"Who is the author of the book ""Hothouse (novel)""?",Brian Aldiss,Hothouse (novel),hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0625,0.0,0.0,0.0,0.0958219096064567
17,P1,author,19810,single,Q4,"Who is the author of the book ""The Man-eaters of Tsavo""?",John Henry Patterson (author),The Man-eaters of Tsavo is a book written by John Henry Patterson.,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2121212121212121,0.1428571428571428,0.3529411764705882,0.0360208028820736,0.5059530735015869
18,P1,author,19810,single,Q4,"Who is the author of the book ""The Fever Tree""?",Ruth Rendell,"The author of the book ""The Fever Tree"" is Elisabeth",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1346153846153845,0.0,0.0,0.0,0.2042404264211654
19,P1,author,19810,single,Q4,"Who is the author of the book ""Shepherds of the Night""?",Jorge Amado,"Question: Who is the author of the book ""The Lure of the Labyrinth: An Essay on the Meanings of the Minot",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0666666666666666,0.0,0.0,0.0,0.0890141353011131
20,P1,author,19810,single,Q4,"Who is the author of the book ""Teen Idol (novel)""?",Meg Cabot,Unsure,unsure,unsure,unsure,unsure,unsure,unsure,0,0.0,0.0,0.0,0.0,0.1438293755054474
