Index,pattern_id,predicate,sup,card_class,pr_quartile,question,answer,model_answer,verdict_exact_match,verdict_edit_sim,verdict_jaccard_sim,verdict_rouge_l,verdict_bleu,verdict_bert_cosine,exact_match,edit_sim,jaccard_sim,rouge_l,bleu,bert_cosine
0,P1,author,19810,single,Q1,What book has Raymond Moody written?,Life After Life (book),Reflections,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2272727272727273,0.0,0.0,0.0,0.1773025095462799
1,P1,author,19810,single,Q1,What book has Anne Desclos written?,Story of O,Story of O,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,0.9999998807907104
2,P1,author,19810,single,Q1,What book has R. J. Yeatman written?,1066 and All That,The Forgotten Man,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.05882352941176472,0.0,0.0,0.0,0.2600541114807129
3,P1,author,19810,single,Q1,What book has Iris Chang written?,The Rape of Nanking (book),The Joy Luck Club,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.3076923076923077,0.125,0.22222222222222224,0.06257106818159155,0.12034481763839722
4,P1,author,19810,single,Q1,What book has Joan Lindsay written?,Picnic at Hanging Rock (novel),Picnic at Hanging Rock,hallucination,hallucination,correct,correct,correct,correct,0,0.7333333333333334,0.8,0.888888888888889,0.7788007830714049,0.8724818229675293
5,P1,author,19810,single,Q1,What book has Walter Lord written?,A Night to Remember (book),The Storm,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.15384615384615385,0.0,0.0,0.0,0.3197833299636841
6,P1,author,19810,single,Q1,What book has Robert W. Chambers written?,The King in Yellow,The King in Yellow,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
7,P1,author,19810,single,Q1,What book has William H. Armstrong written?,Sounder,Nothing Hill,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.16666666666666663,0.0,0.0,0.0,0.10381893813610077
8,P1,author,19810,single,Q1,What book has Craig Harrison (writer) written?,The Quiet Earth,The First Casualty,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.4444444444444444,0.2,0.3333333333333333,0.11362193664674995,0.13672050833702087
9,P1,author,19810,single,Q1,What book has Grace Llewellyn written?,The Teenage Liberation Handbook,The Thirteenth Gift,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.29032258064516125,0.16666666666666666,0.28571428571428575,0.0814136751754278,0.16671496629714966
10,P1,author,19810,single,Q1,What book has Muriel Denison written?,Susannah of the Mounties,The Secret Life of the Savile Row Tailor,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.275,0.2,0.3333333333333333,0.05873949094699214,0.22069500386714935
11,P1,author,19810,single,Q1,What book has Satyam Sankaramanchi written?,Amaravati Kathalu,The Ministry of Time,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.09999999999999998,0.0,0.0,0.0,0.21958735585212708
12,P1,author,19810,single,Q1,What book has Stella Gibbons written?,Cold Comfort Farm,Cold Comfort Farm,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,1.0
13,P1,author,19810,single,Q1,What book has Mika Waltari written?,The Egyptian,The Thorn Tree,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2857142857142857,0.25,0.4,0.11362193664674995,0.18202906847000122
14,P1,author,19810,single,Q1,What book has Ellen Glasgow written?,Virginia (novel),The Amateur,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.125,0.0,0.0,0.0,0.14135928452014923
15,P1,author,19810,single,Q1,What book has Gary K. Wolf written?,Who Censored Roger Rabbit?,A Brief History of Pyramids,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.18518518518518523,0.0,0.0,0.0,0.019604917615652084
16,P1,author,19810,single,Q1,What book has Mil Millington written?,Things My Girlfriend and I Have Argued About,The Great Gatsby,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2272727272727273,0.0,0.0,0.0,0.1502380073070526
17,P1,author,19810,single,Q1,What book has Piri Thomas written?,Down These Mean Streets,Snow,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.04347826086956519,0.0,0.0,0.0,0.24595090746879578
18,P1,author,19810,single,Q1,What book has Mark Clifton written?,They'd Rather Be Right,The Art of Living,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.31818181818181823,0.0,0.0,0.0,0.12560424208641052
19,P1,author,19810,single,Q1,What book has Will Durant written?,The Story of Civilization,The Story of Civilization,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
20,P1,author,19810,single,Q1,What book has John Henry Patterson (author) written?,The Man-eaters of Tsavo,The Boy Mahatma,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.26086956521739135,0.16666666666666666,0.25,0.0814136751754278,0.24179807305335999
21,P1,author,19810,single,Q1,What book has Ethel Pedley written?,Dot and the Kangaroo,The Secret Life of a Sowerby,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2142857142857143,0.0,0.2,0.0,0.1817079335451126
22,P1,author,19810,single,Q1,What book has Michael Thomas Ford written?,Circle of Three,The Red and the Black,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.19047619047619047,0.0,0.0,0.0,0.24496880173683167
