Index,pattern_id,predicate,sup,card_class,pr_quartile,question,answer,model_answer,verdict_exact_match,verdict_edit_sim,verdict_jaccard_sim,verdict_rouge_l,verdict_bleu,verdict_bert_cosine,exact_match,edit_sim,jaccard_sim,rouge_l,bleu,bert_cosine
0,P1,author,19810,single,Q1,What book has Raymond Moody written?,Life After Life (book),Life After Life,hallucination,hallucination,correct,correct,hallucination,hallucination,0,0.6818181818181819,0.6666666666666666,0.8571428571428571,0.40293516672844226,0.8120937347412109
1,P1,author,19810,single,Q1,What book has Anne Desclos written?,Story of O,The Story of O,hallucination,hallucination,correct,correct,hallucination,correct,0,0.7142857142857143,0.75,0.8571428571428571,0.3976353643835253,0.9720488786697388
2,P1,author,19810,single,Q1,What book has R. J. Yeatman written?,1066 and All That,Boss of It All,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.17647058823529416,0.14285714285714285,0.25,0.08034284189446518,0.1649882197380066
3,P1,author,19810,single,Q1,What book has Iris Chang written?,The Rape of Nanking (book),The Rape of Nanking,hallucination,hallucination,correct,correct,correct,correct,0,0.7307692307692308,0.8,0.888888888888889,0.7788007830714049,0.9321401715278625
4,P1,author,19810,single,Q1,What book has Joan Lindsay written?,Picnic at Hanging Rock (novel),Picnic at Hanging Rock,hallucination,hallucination,correct,correct,correct,correct,0,0.7333333333333334,0.8,0.888888888888889,0.7788007830714049,0.8724818229675293
5,P1,author,19810,single,Q1,What book has Walter Lord written?,A Night to Remember (book),A Night to Remember,hallucination,hallucination,correct,correct,correct,hallucination,0,0.7307692307692308,0.8,0.888888888888889,0.7788007830714049,0.8438847064971924
6,P1,author,19810,single,Q1,What book has Robert W. Chambers written?,The King in Yellow,The King in Yellow,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
7,P1,author,19810,single,Q1,What book has William H. Armstrong written?,Sounder,The Man Who Would Be Napoleon,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.13793103448275867,0.0,0.0,0.0,0.0954471230506897
8,P1,author,19810,single,Q1,What book has Craig Harrison (writer) written?,The Quiet Earth,The Art of Dying,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.3125,0.16666666666666666,0.28571428571428575,0.08034284189446518,0.32381752133369446
9,P1,author,19810,single,Q1,What book has Grace Llewellyn written?,The Teenage Liberation Handbook,The Teenage Liberation Handbook: How to Quit School and Get a Real Life and Education,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.3647058823529412,0.2,0.4210526315789474,0.06541868941754436,0.7710080146789551
10,P1,author,19810,single,Q1,What book has Muriel Denison written?,Susannah of the Mounties,The House by the Sea,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.25,0.125,0.22222222222222224,0.05372849659117709,0.2730100750923157
11,P1,author,19810,single,Q1,What book has Satyam Sankaramanchi written?,Amaravati Kathalu,The Tale of Krishna,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1578947368421053,0.0,0.0,0.0,0.3248406648635864
12,P1,author,19810,single,Q1,What book has Stella Gibbons written?,Cold Comfort Farm,Cold Comfort Farm,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,1.0
13,P1,author,19810,single,Q1,What book has Mika Waltari written?,The Egyptian,The Egyptian,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.0
14,P1,author,19810,single,Q1,What book has Ellen Glasgow written?,Virginia (novel),Barren Ground,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.25,0.0,0.0,0.0,0.18822123110294342
15,P1,author,19810,single,Q1,What book has Gary K. Wolf written?,Who Censored Roger Rabbit?,Who Censored Roger Rabbit?,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
16,P1,author,19810,single,Q1,What book has Mil Millington written?,Things My Girlfriend and I Have Argued About,The Happiness Project,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.20454545454545459,0.0,0.0,0.0,0.3141886591911316
17,P1,author,19810,single,Q1,What book has Piri Thomas written?,Down These Mean Streets,Down These Mean Streets,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0000001192092896
18,P1,author,19810,single,Q1,What book has Mark Clifton written?,They'd Rather Be Right,And Be a Villain,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.18181818181818177,0.14285714285714285,0.22222222222222224,0.08034284189446518,0.20527248084545135
19,P1,author,19810,single,Q1,What book has Will Durant written?,The Story of Civilization,The Story of Philosophy,hallucination,hallucination,correct,correct,hallucination,hallucination,0,0.6,0.6,0.75,0.3976353643835253,0.567050576210022
20,P1,author,19810,single,Q1,What book has John Henry Patterson (author) written?,The Man-eaters of Tsavo,The Guns of the S.A.S.,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.21739130434782605,0.2857142857142857,0.3333333333333333,0.06389431042462725,0.20486700534820557
