Index,pattern_id,predicate,sup,card_class,pr_quartile,question,answer,model_answer,verdict_exact_match,verdict_edit_sim,verdict_jaccard_sim,verdict_rouge_l,verdict_bleu,verdict_bert_cosine,exact_match,edit_sim,jaccard_sim,rouge_l,bleu,bert_cosine
0,P1,author,19810,single,Q1,What book has Raymond Moody written?,Life After Life (book),Life after life,hallucination,hallucination,hallucination,correct,hallucination,hallucination,0,0.5909090909090908,0.2,0.8571428571428571,0.0814136751754278,0.8120937347412109
1,P1,author,19810,single,Q1,What book has Anne Desclos written?,Story of O,Story of O,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,0.9999998807907104
2,P1,author,19810,single,Q1,What book has R. J. Yeatman written?,1066 and All That,The Complete Yes Minister,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.12,0.0,0.0,0.0,0.16662713885307312
3,P1,author,19810,single,Q1,What book has Iris Chang written?,The Rape of Nanking (book),The Rape of Nanking,hallucination,hallucination,correct,correct,correct,correct,0,0.7307692307692308,0.8,0.888888888888889,0.7788007830714049,0.9321401715278625
4,P1,author,19810,single,Q1,What book has Joan Lindsay written?,Picnic at Hanging Rock (novel),Picnic at Hanging Rock,hallucination,hallucination,correct,correct,correct,correct,0,0.7333333333333334,0.8,0.888888888888889,0.7788007830714049,0.8724818229675293
5,P1,author,19810,single,Q1,What book has Walter Lord written?,A Night to Remember (book),A Night to Remember,hallucination,hallucination,correct,correct,correct,hallucination,0,0.7307692307692308,0.8,0.888888888888889,0.7788007830714049,0.8438847064971924
6,P1,author,19810,single,Q1,What book has Robert W. Chambers written?,The King in Yellow,The King in Yellow,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
7,P1,author,19810,single,Q1,What book has William H. Armstrong written?,Sounder,Sounder,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.1778279410038923,1.0000001192092896
8,P1,author,19810,single,Q1,What book has Craig Harrison (writer) written?,The Quiet Earth,The Dark Half,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.4,0.2,0.3333333333333333,0.11362193664674995,0.3662032186985016
9,P1,author,19810,single,Q1,What book has Grace Llewellyn written?,The Teenage Liberation Handbook,The Teenage Liberation Handbook: How to Quit School and Get a Real Life and Education,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.3647058823529412,0.2,0.4210526315789474,0.06541868941754436,0.7710080146789551
10,P1,author,19810,single,Q1,What book has Muriel Denison written?,Susannah of the Mounties,The Flying Inn,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.125,0.0,0.28571428571428575,0.0,0.17616426944732666
11,P1,author,19810,single,Q1,What book has Satyam Sankaramanchi written?,Amaravati Kathalu,The Book of Life (novel),hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.125,0.0,0.0,0.0,0.18908320367336273
12,P1,author,19810,single,Q1,What book has Stella Gibbons written?,Cold Comfort Farm,Cold Comfort Farm,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,1.0
13,P1,author,19810,single,Q1,What book has Mika Waltari written?,The Egyptian,Egyptian,hallucination,hallucination,correct,hallucination,hallucination,correct,0,0.6666666666666667,0.5,0.6666666666666666,0.06541924356118012,0.933528482913971
14,P1,author,19810,single,Q1,What book has Ellen Glasgow written?,Virginia (novel),In This Our Life,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0625,0.0,0.0,0.0,0.12290947884321213
15,P1,author,19810,single,Q1,What book has Gary K. Wolf written?,Who Censored Roger Rabbit?,Who Censored Roger Rabbit?,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
16,P1,author,19810,single,Q1,What book has Mil Millington written?,Things My Girlfriend and I Have Argued About,"I, Milhouse",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.11363636363636365,0.0,0.2,0.0,0.11986405402421951
17,P1,author,19810,single,Q1,What book has Piri Thomas written?,Down These Mean Streets,Down These Mean Streets,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0000001192092896
18,P1,author,19810,single,Q1,What book has Mark Clifton written?,They'd Rather Be Right,They'd Rather Be Right,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
19,P1,author,19810,single,Q1,What book has Will Durant written?,The Story of Civilization,The Story of Philosophy,hallucination,hallucination,correct,correct,hallucination,hallucination,0,0.6,0.6,0.75,0.3976353643835253,0.567050576210022
20,P1,author,19810,single,Q1,What book has John Henry Patterson (author) written?,The Man-eaters of Tsavo,Man-eaters of Tsavo,hallucination,correct,correct,correct,hallucination,correct,0,0.8260869565217391,0.75,0.888888888888889,0.40293516672844226,0.989766001701355
21,P1,author,19810,single,Q1,What book has Ethel Pedley written?,Dot and the Kangaroo,Dot and the Kangaroo,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
22,P1,author,19810,single,Q1,What book has Michael Thomas Ford written?,Circle of Three,Give Them an Inch,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.17647058823529416,0.0,0.0,0.0,0.16155503690242767
23,P1,author,19810,single,Q1,What book has Isabella Beeton written?,Mrs Beeton's Book of Household Management,Mrs Beeton's Book of Household Management,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0000001192092896
24,P1,author,19810,single,Q1,What book has Harold Coyle written?,Team Yankee,Team Yankee,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.0
25,P1,author,19810,single,Q1,What book has Vasily Aksyonov written?,Generations of Winter,Generations of Winter,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,1.0
26,P1,author,19810,single,Q1,What book has Don L. Wulffson written?,Soldier X,The Complete Idiot's Guide to the GED,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.16216216216216217,0.0,0.0,0.0,-0.020345192402601242
27,P1,author,19810,single,Q1,What book has Jason Clarke (writer) written?,Michael Moore Is a Big Fat Stupid White Man,The Death of a President,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2558139534883721,0.07692307692307693,0.14285714285714285,0.02414176971688927,0.20963846147060394
28,P1,author,19810,single,Q1,What book has Max Beerbohm written?,Zuleika Dobson,Zuleika Dobson,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.0
29,P1,author,19810,single,Q1,What book has Dossie Easton written?,The Ethical Slut,Polyamory in the 21st Century,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1724137931034483,0.0,0.25,0.0,0.34862303733825684
30,P1,author,19810,single,Q1,What book has Andy Hunt (author) written?,Programming Ruby,Pragmatic Programmer,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.25,0.0,0.0,0.0,0.4547747075557709
31,P1,author,19810,single,Q1,What book has John Antrobus written?,The Bed-Sitting Room (play),The Jig,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2222222222222222,0.2,0.28571428571428575,0.05501080739920602,0.15663458406925201
32,P1,author,19810,single,Q1,What book has Rudolfo Anaya written?,"Bless Me, Ultima",Bless me Ultima,hallucination,correct,correct,correct,hallucination,correct,0,0.875,0.5,1.0,0.13512001548070346,0.9612723588943481
33,P1,author,19810,single,Q1,"What book has Thomas Dixon, Jr. written?",The Leopard's Spots,The Clansman (a.k.a. The Leopard's Spots),hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.46341463414634143,0.3333333333333333,0.6153846153846153,0.08633400213704504,0.6880040168762207
34,P1,author,19810,single,Q1,What book has Emily Arnold McCully written?,Mirette on the High Wire,Mirette on the High Wire,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
35,P1,author,19810,single,Q1,What book has Gregory David Roberts written?,Shantaram (novel),Shantaram,hallucination,hallucination,correct,hallucination,hallucination,hallucination,0,0.5294117647058824,0.5,0.6666666666666666,0.06541924356118012,0.7793893814086914
36,P1,author,19810,single,Q1,What book has Dorothy Wall written?,Blinky Bill,Blinky Bill,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.0
37,P1,author,19810,single,Q1,What book has Frank Yerby written?,"Judas, My Brother",The Foxes of Harrow,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.10526315789473684,0.0,0.0,0.0,0.19132483005523682
38,P1,author,19810,single,Q1,What book has John Pearson (author) written?,James Bond: The Authorized Biography of 007,The Life of Ian Fleming,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.18604651162790697,0.2,0.3333333333333333,0.04282963710525157,0.5259548425674438
39,P1,author,19810,single,Q1,What book has Peter Høeg written?,Miss Smilla's Feeling for Snow,Smilla's Sense of Snow,hallucination,hallucination,hallucination,hallucination,hallucination,correct,0,0.5666666666666667,0.2857142857142857,0.5454545454545454,0.07440995947486906,0.8940784335136414
40,P1,author,19810,single,Q1,What book has Kunal Basu written?,Racists (novel),The Japanese Wife,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.05882352941176472,0.0,0.0,0.0,0.24263492226600647
41,P1,author,19810,single,Q1,What book has D'Arcy Wentworth Thompson written?,On Growth and Form,On Growth and Form,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0000001192092896
42,P1,author,19810,single,Q1,What book has Frans G. Bengtsson written?,The Long Ships,The Long Ships,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,0.9999998807907104
43,P1,author,19810,single,Q1,What book has Victor Margueritte written?,The Bachelor Girl,La Garçonne,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.17647058823529416,0.0,0.0,0.0,0.14949578046798706
44,P1,author,19810,single,Q1,What book has Paul Wühr written?,Das falsche Buch,Der Aufstieg zum Maschinenmenschen,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2647058823529411,0.0,0.0,0.0,0.37124645709991455
45,P1,author,19810,single,Q1,What book has John Masefield written?,The Box of Delights,Cargoes,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1578947368421053,0.0,0.0,0.0,0.3073824644088745
46,P1,author,19810,single,Q1,What book has Keith Baker (game designer) written?,Eberron Campaign Setting,Eberron Campaign Setting,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,0.9999999403953552
47,P1,author,19810,single,Q1,What book has Paco Ignacio Taibo II written?,The Uncomfortable Dead,The Missing Girl,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2272727272727273,0.2,0.3333333333333333,0.11362193664674995,0.3031693994998932
48,P1,author,19810,single,Q1,What book has Dorothy Kunhardt written?,Pat the Bunny,Pat the Bunny,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,1.0
49,P1,author,19810,single,Q1,What book has Naomi Mitchison written?,Memoirs of a Spacewoman,Memoirs of a Spacewoman,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
50,P1,author,19810,single,Q1,What book has Edwin Charles Tubb written?,Ten from Tomorrow,The Winds of Gath,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.17647058823529416,0.0,0.0,0.0,0.1479014754295349
51,P1,author,19810,single,Q1,What book has Ron Burnett written?,Cultures of Vision,Cultures of Vision,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,1.0
52,P1,author,19810,single,Q1,What book has Anita Brookner written?,Hotel du Lac,Hotel du Lac,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,0.9999999403953552
53,P1,author,19810,single,Q1,What book has Bill Strutton written?,The Web Planet  Doctor Who and the Zarbi  1,I am the Cheese,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.18604651162790697,0.08333333333333333,0.15384615384615383,0.023018609596144116,0.10874839127063751
54,P1,author,19810,single,Q1,What book has Welwyn Wilton Katz written?,Out of the Dark (Wilton Katz novel),The Floating Book,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.19999999999999996,0.0,0.2,0.0,0.3976106345653534
55,P1,author,19810,single,Q1,What book has Elizabeth Levy written?,The Computer That Said Steal Me,The Baggage Bomb,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.22580645161290325,0.125,0.2222222222222222,0.0417991745584234,0.17454876005649567
56,P1,author,19810,single,Q1,What book has Jack Abbott (author) written?,In the Belly of the Beast,In the Belly of the Beast,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
57,P1,author,19810,single,Q1,What book has Paul Erickson written?,The Ark (Doctor Who)  The Ark  1,Modern America: From Cold War to Global Hegemony,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.22916666666666663,0.0,0.0,0.0,0.07051311433315277
58,P1,author,19810,single,Q1,What book has Johannes V. Jensen written?,The Long Journey,Niels Lyhne,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.25,0.0,0.0,0.0,0.2588467299938202
59,P1,author,19810,single,Q1,What book has Kornel Makuszyński written?,Argument About Basia,The Adventures of Kuzka the Cuckoo,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.20588235294117652,0.0,0.0,0.0,0.12603269517421722
60,P1,author,19810,single,Q1,What book has Edward P. Jones written?,The Known World,The Known World,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,1.0
61,P1,author,19810,single,Q1,What book has Dare Wright written?,The Lonely Doll,The Little Lost Robot,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.38095238095238093,0.16666666666666666,0.28571428571428575,0.08034284189446518,0.447482168674469
62,P1,author,19810,single,Q1,What book has Ward Moore written?,Bring the Jubilee,Bring the Jubilee,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,1.0
63,P1,author,19810,single,Q1,What book has Dan Koeppel written?,To See Every Bird on Earth,Banana: The Fate of the Fruit That Changed the World,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.21153846153846156,0.0,0.0,0.0,0.21238616108894348
64,P1,author,19810,single,Q1,What book has James Heneghan written?,The Grave (novel),The Longest Race,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2941176470588235,0.2,0.3333333333333333,0.11362193664674995,0.06897885352373123
65,P1,author,19810,single,Q1,What book has Pierre Vallières written?,White Niggers of America,White Niggers of America,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0000001192092896
66,P1,author,19810,single,Q1,What book has Andrew Neiderman written?,The Baby Squad,The Vampire Lestat,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.38888888888888884,0.2,0.3333333333333333,0.11362193664674995,0.23435181379318237
67,P1,author,19810,single,Q1,What book has Ken Grimwood written?,Replay (Grimwood novel),Replay,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.26086956521739135,0.3333333333333333,0.5,0.024066394763145416,0.5812499523162842
68,P1,author,19810,single,Q1,What book has Azadeh Moaveni written?,Lipstick Jihad,Lipstick Jihad,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.0000001192092896
69,P1,author,19810,single,Q1,What book has Jung Chang written?,Mao: The Unknown Story,Wild Swans,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.09090909090909094,0.0,0.0,0.0,0.09558086097240448
70,P1,author,19810,single,Q1,What book has Julie Burchill written?,Sugar Rush (novel),Aftermath,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.11111111111111116,0.0,0.0,0.0,0.04776804521679878
