pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,0.05,0.1,0.7250000000000001,0.575,0.3,0.525,4000
P1,starring,60547,many,0.0,0.0,0.0,0.0,0.0,0.0,11
P1,starring,60547,single,3.5000000000000004,3.5999999999999996,4.8500000000000005,4.324999999999999,1.975,4.375,4000
P10,narrator,1897,few,0.0,0.0,0.3937007874015747,0.3937007874015747,0.0,0.3937007874015747,254
P10,narrator,1897,many,0.0,0.0,0.0,0.0,0.0,0.0,8
P10,narrator,1897,single,1.5677491601343785,1.6797312430011198,2.3516237402015676,1.9036954087346023,0.8958566629339306,1.6797312430011198,893
P11,showJudge,886,few,1.8867924528301887,2.8301886792452833,4.716981132075472,6.60377358490566,3.7735849056603774,6.60377358490566,106
P11,showJudge,886,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P11,showJudge,886,single,7.482993197278912,7.82312925170068,11.394557823129253,9.693877551020408,6.122448979591836,9.693877551020408,588
P11,storyEditor,27,many,0.0,0.0,0.0,0.0,0.0,1.818181818181818,110
P11,storyEditor,27,single,1.1904761904761905,1.3605442176870748,2.0408163265306123,1.7006802721088436,1.020408163265306,2.0408163265306123,588
P12,creativeDirector,192,few,0.0,0.0,0.0,0.0,0.0,0.0,16
P12,creativeDirector,192,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,3.8461538461538463,3.8461538461538463,3.8461538461538463,3.8461538461538463,0.0,3.8461538461538463,52
P2,director,8321,few,0.0,0.0,0.2114164904862579,0.1409443269908386,0.0704721634954193,0.2114164904862579,1419
P2,director,8321,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P2,director,8321,single,1.1090573012939002,1.2939001848428835,2.033271719038817,1.6019716574245224,0.8009858287122612,1.478743068391867,1623
P3,executiveProducer,7193,few,0.1657000828500414,0.2485501242750621,1.077050538525269,0.8285004142502072,0.579950289975145,1.4913007456503728,1207
P3,executiveProducer,7193,many,0.0,0.0,0.0,0.0,0.0,0.0,3
P3,executiveProducer,7193,single,4.579207920792079,4.702970297029703,6.621287128712872,5.693069306930694,1.98019801980198,5.754950495049505,1616
P4,presenter,6955,few,0.160513643659711,0.4012841091492776,1.8459069020866776,0.8025682182985553,0.3210272873194221,1.6051364365971106,1246
P4,presenter,6955,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P4,presenter,6955,single,4.784172661870503,5.53956834532374,7.76978417266187,6.115107913669065,2.805755395683453,6.366906474820144,2780
P5,creator,6755,few,0.3676470588235294,0.6433823529411764,3.0330882352941178,1.8382352941176472,1.1948529411764706,3.0330882352941178,1088
P5,creator,6755,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P5,creator,6755,single,5.253863134657837,5.783664459161148,8.167770419426049,7.108167770419425,3.487858719646799,7.4613686534216335,2265
P6,voice,6364,few,0.1096491228070175,0.1096491228070175,0.4385964912280701,0.219298245614035,0.0,0.3289473684210526,912
P6,voice,6364,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P6,voice,6364,single,2.3591087811271296,2.3591087811271296,3.1454783748361725,2.5557011795543905,0.982961992136304,2.752293577981652,1526
P7,producer,4764,few,0.0,0.0,0.1312335958005249,0.0,0.0,0.1312335958005249,762
P7,producer,4764,many,0.0,0.0,0.0,0.0,0.0,0.0,6
P7,producer,4764,single,1.8149882903981265,1.9320843091334896,2.927400468384075,2.3419203747072603,1.1124121779859486,2.3419203747072603,1708
P8,author,4612,few,0.116822429906542,0.116822429906542,0.9345794392523364,0.5841121495327103,0.3504672897196261,0.7009345794392523,856
P8,author,4612,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P8,author,4612,single,2.066772655007949,2.278749337572867,3.603603603603604,3.126656067832538,1.5368309485956544,2.755696873343932,1887
P9,composer,2771,few,0.0,0.0,0.0,0.0,0.0,0.2392344497607655,418
P9,composer,2771,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P9,composer,2771,single,1.9417475728155336,2.103559870550162,2.4271844660194173,2.4271844660194173,0.8090614886731391,2.26537216828479,618
