Index,pattern_id,predicate,sup,card_class,pr_quartile,question,answer,model_answer,verdict_exact_match,verdict_edit_sim,verdict_jaccard_sim,verdict_rouge_l,verdict_bleu,verdict_bert_cosine,exact_match,edit_sim,jaccard_sim,rouge_l,bleu,bert_cosine
0,P1,author,19810,single,Q1,What book has Raymond Moody written?,Life After Life (book),"1. Life after Life: The Investigation of a Phenomenon—Survival of Bodily Death, 1975,",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.19999999999999996,0.07142857142857142,0.3333333333333333,0.01553712569276035,0.6920377612113953
1,P1,author,19810,single,Q1,What book has Anne Desclos written?,Story of O,The Story of O,hallucination,hallucination,correct,correct,hallucination,correct,0,0.7142857142857143,0.75,0.8571428571428571,0.3976353643835253,0.9720488786697388
2,P1,author,19810,single,Q1,What book has R. J. Yeatman written?,1066 and All That,The Daffodil Affair (unsure),hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1785714285714286,0.0,0.0,0.0,0.14893394708633423
3,P1,author,19810,single,Q1,What book has Iris Chang written?,The Rape of Nanking (book),The Rape of Nanking,hallucination,hallucination,correct,correct,correct,correct,0,0.7307692307692308,0.8,0.888888888888889,0.7788007830714049,0.9321401715278625
4,P1,author,19810,single,Q1,What book has Joan Lindsay written?,Picnic at Hanging Rock (novel),Picnic at Hanging Rock,hallucination,hallucination,correct,correct,correct,correct,0,0.7333333333333334,0.8,0.888888888888889,0.7788007830714049,0.8724818229675293
5,P1,author,19810,single,Q1,What book has Walter Lord written?,A Night to Remember (book),I have never read a book by Walter Lord.,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.17500000000000004,0.0,0.2857142857142857,0.0,0.2507610321044922
6,P1,author,19810,single,Q1,What book has Robert W. Chambers written?,The King in Yellow,The King in Yellow,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
7,P1,author,19810,single,Q1,What book has William H. Armstrong written?,Sounder,'The Book of Hate',hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.11111111111111116,0.0,0.0,0.0,0.06772497296333313
8,P1,author,19810,single,Q1,What book has Craig Harrison (writer) written?,The Quiet Earth,"If you want to know what book Craig Harrison (writer) has written, then you can simply go through the list of all the books written by Craig",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.07857142857142863,0.0,0.06666666666666667,0.0,0.07466630637645721
9,P1,author,19810,single,Q1,What book has Grace Llewellyn written?,The Teenage Liberation Handbook,"Dude, Where's My Cool?",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.19354838709677424,0.0,0.0,0.0,0.14560005068778992
10,P1,author,19810,single,Q1,What book has Muriel Denison written?,Susannah of the Mounties,Muriel Denison has written the book:,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2222222222222222,0.1111111111111111,0.2,0.040824829046386304,0.24900594353675842
11,P1,author,19810,single,Q1,What book has Satyam Sankaramanchi written?,Amaravati Kathalu,"Satyam Sankaramanchi has written the book titled, 'Career Planning and Development: A Guide to Success'.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.125,0.0,0.0,0.0,0.156286358833313
12,P1,author,19810,single,Q1,What book has Stella Gibbons written?,Cold Comfort Farm,Cold Comfort Farm,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,1.0
13,P1,author,19810,single,Q1,What book has Mika Waltari written?,The Egyptian,The Egyptian (1945),hallucination,hallucination,correct,correct,hallucination,hallucination,0,0.631578947368421,0.6666666666666666,0.8,0.24028114141347542,0.8047901391983032
14,P1,author,19810,single,Q1,What book has Ellen Glasgow written?,Virginia (novel),The Deliverance,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0625,0.0,0.0,0.0,0.27401530742645264
15,P1,author,19810,single,Q1,What book has Gary K. Wolf written?,Who Censored Roger Rabbit?,'Rabbit Redux',hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.11538461538461542,0.0,0.3333333333333333,0.0,0.4703843295574188
16,P1,author,19810,single,Q1,What book has Mil Millington written?,Things My Girlfriend and I Have Argued About,"2012: The End of the World as We Know It, and other books.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2586206896551724,0.05,0.09523809523809525,0.01553712569276035,0.11704657971858978
17,P1,author,19810,single,Q1,What book has Piri Thomas written?,Down These Mean Streets,Down These Mean Streets,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0000001192092896
18,P1,author,19810,single,Q1,What book has Mark Clifton written?,They'd Rather Be Right,"Time's Last Gift, The Day the Martians Came, and Time's Last Gift.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.19696969696969702,0.0,0.0,0.0,0.05574040487408638
19,P1,author,19810,single,Q1,What book has Will Durant written?,The Story of Civilization,The Story of Philosophy,hallucination,hallucination,correct,correct,hallucination,hallucination,0,0.6,0.6,0.75,0.3976353643835253,0.567050576210022
20,P1,author,19810,single,Q1,What book has John Henry Patterson (author) written?,The Man-eaters of Tsavo,```,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0,0.0,0.0,0.0,0.13771747052669525
