pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,0.075,0.1,0.675,0.5,0.2,0.65,4000
P1,starring,60547,many,0.0,0.0,0.0,0.0,0.0,0.0,11
P1,starring,60547,single,2.8000000000000003,2.9250000000000003,4.175,3.775,1.7999999999999998,3.625,4000
P10,narrator,1897,few,0.0,0.0,0.0,0.0,0.0,0.3937007874015747,254
P10,narrator,1897,many,0.0,0.0,0.0,0.0,0.0,0.0,8
P10,narrator,1897,single,2.3516237402015676,2.3516237402015676,3.4714445688689812,3.0235162374020157,1.4557670772676372,2.9115341545352744,893
P11,showJudge,886,few,0.0,0.0,1.8867924528301887,2.8301886792452833,0.0,3.7735849056603774,106
P11,showJudge,886,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P11,showJudge,886,single,6.292517006802721,6.63265306122449,9.693877551020408,8.503401360544217,5.442176870748299,8.503401360544217,588
P11,storyEditor,27,many,0.0,0.0,1.818181818181818,0.0,0.0,0.9090909090909092,110
P11,storyEditor,27,single,1.020408163265306,1.020408163265306,1.870748299319728,1.530612244897959,1.3605442176870748,1.530612244897959,588
P12,creativeDirector,192,few,0.0,0.0,0.0,0.0,0.0,0.0,16
P12,creativeDirector,192,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,0.0,1.9230769230769231,52
P2,director,8321,few,0.0,0.0704721634954193,0.2114164904862579,0.1409443269908386,0.0704721634954193,0.2818886539816772,1419
P2,director,8321,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P2,director,8321,single,1.0474430067775724,1.1706715958102278,1.9100431300061615,1.6019716574245224,0.9242144177449167,1.4171287738755391,1623
P3,executiveProducer,7193,few,0.0,0.0,0.9113504556752278,0.6628003314001657,0.4142502071251036,0.9113504556752278,1207
P3,executiveProducer,7193,many,0.0,0.0,0.0,0.0,0.0,0.0,3
P3,executiveProducer,7193,single,4.702970297029703,4.888613861386139,6.9306930693069315,5.693069306930694,1.918316831683168,6.188118811881188,1616
P4,presenter,6955,few,0.160513643659711,0.160513643659711,1.7656500802568218,1.3643659711075442,0.5617977528089888,1.7656500802568218,1246
P4,presenter,6955,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P4,presenter,6955,single,4.9640287769784175,5.467625899280575,6.654676258992806,5.899280575539569,2.9496402877697845,6.115107913669065,2780
P5,creator,6755,few,0.2757352941176471,0.3676470588235294,2.4816176470588234,2.0220588235294117,0.6433823529411764,2.389705882352941,1088
P5,creator,6755,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P5,creator,6755,single,5.298013245033113,5.607064017660044,8.123620309050773,6.975717439293598,3.3554083885209716,7.06401766004415,2265
P6,voice,6364,few,0.1096491228070175,0.1096491228070175,0.5482456140350876,0.219298245614035,0.0,0.4385964912280701,912
P6,voice,6364,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P6,voice,6364,single,2.1625163826998692,2.1625163826998692,3.014416775884666,2.621231979030144,1.1795543905635648,2.686762778505898,1526
P7,producer,4764,few,0.0,0.0,0.1312335958005249,0.1312335958005249,0.0,0.0,762
P7,producer,4764,many,0.0,0.0,0.0,0.0,0.0,0.0,6
P7,producer,4764,single,1.8149882903981265,1.9320843091334896,2.693208430913349,2.3419203747072603,1.1124121779859486,2.107728337236534,1708
P8,author,4612,few,0.0,0.0,0.3504672897196261,0.233644859813084,0.116822429906542,0.4672897196261681,856
P8,author,4612,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P8,author,4612,single,1.9077901430842603,1.96078431372549,3.0206677265500796,2.6497085320614735,1.1128775834658189,2.437731849496555,1887
P9,composer,2771,few,0.0,0.0,0.2392344497607655,0.0,0.0,0.2392344497607655,418
P9,composer,2771,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P9,composer,2771,single,1.9417475728155336,2.26537216828479,2.26537216828479,2.4271844660194173,1.6181229773462782,2.26537216828479,618
