pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,0.0,0.0,0.1,0.125,0.05,0.05,4000
P1,starring,60547,many,0.0,0.0,0.0,0.0,0.0,0.0,11
P1,starring,60547,single,0.65,0.7000000000000001,0.975,0.8,0.35,0.925,4000
P10,narrator,1897,few,0.0,0.0,0.3937007874015747,0.3937007874015747,0.0,0.0,254
P10,narrator,1897,many,0.0,0.0,0.0,0.0,0.0,0.0,8
P10,narrator,1897,single,0.7838745800671892,0.7838745800671892,0.8958566629339306,1.007838745800672,0.3359462486002239,0.8958566629339306,893
P11,showJudge,886,few,0.0,0.0,3.7735849056603774,0.0,0.0,2.8301886792452833,106
P11,showJudge,886,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P11,showJudge,886,single,1.7006802721088436,1.870748299319728,4.421768707482993,3.061224489795918,1.530612244897959,3.061224489795918,588
P11,storyEditor,27,many,0.0,0.0,0.0,0.0,0.0,0.9090909090909092,110
P11,storyEditor,27,single,0.6802721088435374,0.8503401360544218,2.2108843537414966,1.7006802721088436,0.6802721088435374,1.3605442176870748,588
P12,creativeDirector,192,few,0.0,0.0,0.0,0.0,0.0,0.0,16
P12,creativeDirector,192,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,0.0,0.0,0.0,0.0,0.0,0.0,52
P2,director,8321,few,0.0,0.0,0.0,0.0,0.0,0.0,1419
P2,director,8321,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P2,director,8321,single,0.1848428835489833,0.1848428835489833,0.3080714725816389,0.3696857670979667,0.0,0.2464571780653111,1623
P3,executiveProducer,7193,few,0.0,0.0,0.4142502071251036,0.1657000828500414,0.0828500414250207,0.0828500414250207,1207
P3,executiveProducer,7193,many,0.0,0.0,0.0,0.0,0.0,0.0,3
P3,executiveProducer,7193,single,0.9282178217821782,0.99009900990099,1.670792079207921,1.4232673267326734,0.6806930693069307,1.2995049504950495,1616
P4,presenter,6955,few,0.0,0.0,0.7223113964686998,0.4012841091492776,0.0,0.4815409309791332,1246
P4,presenter,6955,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P4,presenter,6955,single,1.1870503597122302,1.4028776978417266,2.086330935251799,1.6546762589928057,0.6115107913669064,1.7266187050359711,2780
P5,creator,6755,few,0.0,0.0,0.5514705882352942,0.2757352941176471,0.0919117647058823,0.3676470588235294,1088
P5,creator,6755,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P5,creator,6755,single,0.9271523178807948,1.0596026490066226,1.7218543046357615,1.3686534216335542,0.7064017660044151,1.3245033112582782,2265
P6,voice,6364,few,0.1096491228070175,0.1096491228070175,0.219298245614035,0.1096491228070175,0.0,0.219298245614035,912
P6,voice,6364,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P6,voice,6364,single,0.5242463958060288,0.5242463958060288,0.8519003931847969,0.5242463958060288,0.0655307994757536,0.5242463958060288,1526
P7,producer,4764,few,0.0,0.0,0.1312335958005249,0.0,0.0,0.0,762
P7,producer,4764,many,0.0,0.0,0.0,0.0,0.0,0.0,6
P7,producer,4764,single,0.702576112412178,0.7611241217798594,0.9953161592505856,0.819672131147541,0.351288056206089,0.8782201405152225,1708
P8,author,4612,few,0.0,0.0,0.0,0.233644859813084,0.0,0.116822429906542,856
P8,author,4612,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P8,author,4612,single,0.2119766825649178,0.2649708532061473,0.4769475357710651,0.3709591944886062,0.0529941706412294,0.4239533651298357,1887
P9,composer,2771,few,0.0,0.0,0.2392344497607655,0.2392344497607655,0.0,0.0,418
P9,composer,2771,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P9,composer,2771,single,0.9708737864077668,0.9708737864077668,1.132686084142395,0.9708737864077668,0.3236245954692557,0.9708737864077668,618
