Index,pattern_id,predicate,sup,card_class,pr_quartile,question,answer,model_answer,verdict_exact_match,verdict_edit_sim,verdict_jaccard_sim,verdict_rouge_l,verdict_bleu,verdict_bert_cosine,exact_match,edit_sim,jaccard_sim,rouge_l,bleu,bert_cosine
0,P1,author,19810,single,Q4,"Who is the author of the book ""Reincarnation (novel)""?",Suzanne Weyn,Susan Kay,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.5,0.0,0.0,0.0,0.614518940448761
1,P1,author,19810,single,Q4,"Who is the author of the book ""The Mysteries of Udolpho""?",Ann Radcliffe,Ann Radcliffe,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,0.9999999403953552
2,P1,author,19810,single,Q4,"Who is the author of the book ""I riddarnas spår""?",Margit Sandemo,Håkan Nesser,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1428571428571429,0.0,0.0,0.0,0.1815819144248962
3,P1,author,19810,single,Q4,"Who is the author of the book ""Over Sea, Under Stone""?",Susan Cooper,Susan Cooper,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.0
4,P1,author,19810,single,Q4,"Who is the author of the book ""Venus as a Boy (novella)""?",Luke Sutherland,Jeanette Winterson,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2222222222222222,0.0,0.0,0.0,0.2039646208286285
5,P1,author,19810,single,Q4,"Who is the author of the book ""Blood, Sweat & Tea""?",Tom Reynolds (EMT),Arthur Smith,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0555555555555555,0.0,0.0,0.0,0.2794099748134613
6,P1,author,19810,single,Q4,"Who is the author of the book ""The Fortunate Pilgrim""?",Mario Puzo,Mario Puzo,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.0000001192092896
7,P1,author,19810,single,Q4,"Who is the author of the book ""Providence: The Story of a Fifty-Year Vision Quest""?",Daniel Quinn,Gary Snyder,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0833333333333333,0.0,0.0,0.0,0.4036295115947723
8,P1,author,19810,single,Q4,"Who is the author of the book ""Tales from the Secret Annex""?",Anne Frank,Anne Frank,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.0000001192092896
9,P1,author,19810,single,Q4,"Who is the author of the book ""A Son of the People""?",Emma Orczy,Jack London,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0909090909090909,0.0,0.0,0.0,0.2544622719287872
10,P1,author,19810,single,Q4,"Who is the author of the book ""The Men Who Stare at Goats""?",Jon Ronson,Jon Ronson,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.000000238418579
11,P1,author,19810,single,Q4,"Who is the author of the book ""Dream Boy""?",Jim Grimsley,Gemma Halliday,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2142857142857143,0.0,0.0,0.0,0.1771662086248397
12,P1,author,19810,single,Q4,"Who is the author of the book ""Galactic Empires (anthology)""?",Gardner Dozois,Gregory Benford,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.2666666666666667,0.0,0.0,0.0,0.3168716132640838
13,P1,author,19810,single,Q4,"Who is the author of the book ""Alamut (Bartol novel)""?",Vladimir Bartol,Raymond Khoury,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1333333333333333,0.0,0.0,0.0,0.3664553761482239
14,P1,author,19810,single,Q4,"Who is the author of the book ""Empress (novel)""?",Shan Sa,Karen Chance,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.25,0.0,0.0,0.0,0.3276753723621368
